grouping,sort,section,units,grade,level_achieved,year,value
Total Number of Schools,2,District_Perform,count,All,NA,1995,8
Total Number of Schools,2,District_Perform,count,All,NA,1996,8
Total Number of Schools,2,District_Perform,count,All,NA,1997,8
Total Number of Schools,2,District_Perform,count,All,NA,1998,9
Total Number of Schools,2,District_Perform,count,All,NA,1999,10
Total Number of Schools,2,District_Perform,count,All,NA,2000,11
Total Number of Schools,2,District_Perform,count,All,NA,2001,11
Total Number of Schools,2,District_Perform,count,All,NA,2002,11
Total Number of Schools,2,District_Perform,count,All,NA,2003,11
Total Number of Schools,2,District_Perform,count,All,NA,2004,12
Total Number of Schools,2,District_Perform,count,All,NA,2005,12
Total Number of Schools,2,District_Perform,count,All,NA,2006,13
Total Number of Schools,2,District_Perform,count,All,NA,2007,13
Total Number of Schools,2,District_Perform,count,All,NA,2008,13
Total Number of Schools,2,District_Perform,count,All,NA,2009,14
Total Number of Schools,2,District_Perform,count,All,NA,2010,15
Total Number of Schools,2,District_Perform,count,All,NA,2011,15
Total Number of Schools,2,District_Perform,count,All,NA,2012,15
Total Number of Schools,2,District_Perform,count,All,NA,2013,15
Total Number of Schools,2,District_Perform,count,All,NA,2014,15
Total Number of Schools,2,District_Perform,count,All,NA,2015,15
Total Number of Schools,2,District_Perform,count,All,NA,2016,16
Total Number of Schools,2,District_Perform,count,All,NA,2017,16
Total Number of Schools,2,District_Perform,count,All,NA,2018,16
Total Number of Schools,2,District_Perform,count,All,NA,2019,16
Total Number of Schools,2,District_Perform,count,All,NA,2020,16
Total Number of Schools,2,District_Perform,count,All,NA,2021,16
Total Number of Schools,2,District_Perform,count,All,NA,2022,16
Total Students in District,1,District_Perform,count,All,NA,1995,4668
Total Students in District,1,District_Perform,count,All,NA,1996,4831
Total Students in District,1,District_Perform,count,All,NA,1997,5128
Total Students in District,1,District_Perform,count,All,NA,1998,5479
Total Students in District,1,District_Perform,count,All,NA,1999,5939
Total Students in District,1,District_Perform,count,All,NA,2000,6186
Total Students in District,1,District_Perform,count,All,NA,2001,6446
Total Students in District,1,District_Perform,count,All,NA,2002,6427
Total Students in District,1,District_Perform,count,All,NA,2003,6697
Total Students in District,1,District_Perform,count,All,NA,2004,7235
Total Students in District,1,District_Perform,count,All,NA,2005,7612
Total Students in District,1,District_Perform,count,All,NA,2006,8380
Total Students in District,1,District_Perform,count,All,NA,2007,9470
Total Students in District,1,District_Perform,count,All,NA,2008,10335
Total Students in District,1,District_Perform,count,All,NA,2009,11127
Total Students in District,1,District_Perform,count,All,NA,2010,11682
Total Students in District,1,District_Perform,count,All,NA,2011,12389
Total Students in District,1,District_Perform,count,All,NA,2012,13014
Total Students in District,1,District_Perform,count,All,NA,2013,13540
Total Students in District,1,District_Perform,count,All,NA,2014,14056
Total Students in District,1,District_Perform,count,All,NA,2015,14586
Total Students in District,1,District_Perform,count,All,NA,2016,15081
Total Students in District,1,District_Perform,count,All,NA,2017,15465
Total Students in District,1,District_Perform,count,All,NA,2018,15615
Total Students in District,1,District_Perform,count,All,NA,2019,15768
Total Students in District,1,District_Perform,count,All,NA,2020,15924
Total Students in District,1,District_Perform,count,All,NA,2021,15643
Total Students in District,1,District_Perform,count,All,NA,2022,15875
African American,E3,Students,percent_of_students,All,NA,1995,5
African American,E3,Students,percent_of_students,All,NA,1996,5
African American,E3,Students,percent_of_students,All,NA,1997,5
African American,E3,Students,percent_of_students,All,NA,1998,6
African American,E3,Students,percent_of_students,All,NA,1999,7
African American,E3,Students,percent_of_students,All,NA,2000,8
African American,E3,Students,percent_of_students,All,NA,2001,9
African American,E3,Students,percent_of_students,All,NA,2002,9
African American,E3,Students,percent_of_students,All,NA,2003,10
African American,E3,Students,percent_of_students,All,NA,2004,10
African American,E3,Students,percent_of_students,All,NA,2005,11
African American,E3,Students,percent_of_students,All,NA,2006,12
African American,E3,Students,percent_of_students,All,NA,2007,12
African American,E3,Students,percent_of_students,All,NA,2008,12
African American,E3,Students,percent_of_students,All,NA,2009,13
African American,E3,Students,percent_of_students,All,NA,2010,13
African American,E3,Students,percent_of_students,All,NA,2011,11
African American,E3,Students,percent_of_students,All,NA,2012,11
African American,E3,Students,percent_of_students,All,NA,2013,11.1
African American,E3,Students,percent_of_students,All,NA,2014,11.1
African American,E3,Students,percent_of_students,All,NA,2015,10.9
African American,E3,Students,percent_of_students,All,NA,2016,11.2
African American,E3,Students,percent_of_students,All,NA,2017,11.4
African American,E3,Students,percent_of_students,All,NA,2018,11.5
African American,E3,Students,percent_of_students,All,NA,2019,11.5
African American,E3,Students,percent_of_students,All,NA,2020,11.5
African American,E3,Students,percent_of_students,All,NA,2021,11.6
African American,E3,Students,percent_of_students,All,NA,2022,11.6
Hispanic,E2,Students,percent_of_students,All,NA,1995,23
Hispanic,E2,Students,percent_of_students,All,NA,1996,24
Hispanic,E2,Students,percent_of_students,All,NA,1997,24
Hispanic,E2,Students,percent_of_students,All,NA,1998,24
Hispanic,E2,Students,percent_of_students,All,NA,1999,24
Hispanic,E2,Students,percent_of_students,All,NA,2000,23
Hispanic,E2,Students,percent_of_students,All,NA,2001,24
Hispanic,E2,Students,percent_of_students,All,NA,2002,24
Hispanic,E2,Students,percent_of_students,All,NA,2003,25
Hispanic,E2,Students,percent_of_students,All,NA,2004,26
Hispanic,E2,Students,percent_of_students,All,NA,2005,26
Hispanic,E2,Students,percent_of_students,All,NA,2006,27
Hispanic,E2,Students,percent_of_students,All,NA,2007,29
Hispanic,E2,Students,percent_of_students,All,NA,2008,31
Hispanic,E2,Students,percent_of_students,All,NA,2009,31
Hispanic,E2,Students,percent_of_students,All,NA,2010,32
Hispanic,E2,Students,percent_of_students,All,NA,2011,37
Hispanic,E2,Students,percent_of_students,All,NA,2012,37
Hispanic,E2,Students,percent_of_students,All,NA,2013,36.7
Hispanic,E2,Students,percent_of_students,All,NA,2014,38.4
Hispanic,E2,Students,percent_of_students,All,NA,2015,39.1
Hispanic,E2,Students,percent_of_students,All,NA,2016,39.7
Hispanic,E2,Students,percent_of_students,All,NA,2017,40.5
Hispanic,E2,Students,percent_of_students,All,NA,2018,41.1
Hispanic,E2,Students,percent_of_students,All,NA,2019,42.1
Hispanic,E2,Students,percent_of_students,All,NA,2020,43.2
Hispanic,E2,Students,percent_of_students,All,NA,2021,44.6
Hispanic,E2,Students,percent_of_students,All,NA,2022,45.3
White,E1,Students,percent_of_students,All,NA,1995,71
White,E1,Students,percent_of_students,All,NA,1996,70
White,E1,Students,percent_of_students,All,NA,1997,69
White,E1,Students,percent_of_students,All,NA,1998,69
White,E1,Students,percent_of_students,All,NA,1999,68
White,E1,Students,percent_of_students,All,NA,2000,68
White,E1,Students,percent_of_students,All,NA,2001,66
White,E1,Students,percent_of_students,All,NA,2002,65
White,E1,Students,percent_of_students,All,NA,2003,63
White,E1,Students,percent_of_students,All,NA,2004,62
White,E1,Students,percent_of_students,All,NA,2005,60
White,E1,Students,percent_of_students,All,NA,2006,59
White,E1,Students,percent_of_students,All,NA,2007,56
White,E1,Students,percent_of_students,All,NA,2008,54
White,E1,Students,percent_of_students,All,NA,2009,52
White,E1,Students,percent_of_students,All,NA,2010,51
White,E1,Students,percent_of_students,All,NA,2011,45
White,E1,Students,percent_of_students,All,NA,2012,45
White,E1,Students,percent_of_students,All,NA,2013,44.5
White,E1,Students,percent_of_students,All,NA,2014,43
White,E1,Students,percent_of_students,All,NA,2015,42.2
White,E1,Students,percent_of_students,All,NA,2016,41
White,E1,Students,percent_of_students,All,NA,2017,40
White,E1,Students,percent_of_students,All,NA,2018,38.7
White,E1,Students,percent_of_students,All,NA,2019,37.1
White,E1,Students,percent_of_students,All,NA,2020,35.8
White,E1,Students,percent_of_students,All,NA,2021,34.4
White,E1,Students,percent_of_students,All,NA,2022,33.3
American Indian,E4,Students,percent_of_students,All,NA,1995,NA
American Indian,E4,Students,percent_of_students,All,NA,1996,NA
American Indian,E4,Students,percent_of_students,All,NA,1997,NA
American Indian,E4,Students,percent_of_students,All,NA,1998,NA
American Indian,E4,Students,percent_of_students,All,NA,1999,NA
American Indian,E4,Students,percent_of_students,All,NA,2000,NA
American Indian,E4,Students,percent_of_students,All,NA,2001,NA
American Indian,E4,Students,percent_of_students,All,NA,2002,NA
American Indian,E4,Students,percent_of_students,All,NA,2003,NA
American Indian,E4,Students,percent_of_students,All,NA,2004,NA
American Indian,E4,Students,percent_of_students,All,NA,2005,NA
American Indian,E4,Students,percent_of_students,All,NA,2006,NA
American Indian,E4,Students,percent_of_students,All,NA,2007,NA
American Indian,E4,Students,percent_of_students,All,NA,2008,NA
American Indian,E4,Students,percent_of_students,All,NA,2009,NA
American Indian,E4,Students,percent_of_students,All,NA,2010,NA
American Indian,E4,Students,percent_of_students,All,NA,2011,NA
American Indian,E4,Students,percent_of_students,All,NA,2012,1
American Indian,E4,Students,percent_of_students,All,NA,2013,0.4
American Indian,E4,Students,percent_of_students,All,NA,2014,0.4
American Indian,E4,Students,percent_of_students,All,NA,2015,0.4
American Indian,E4,Students,percent_of_students,All,NA,2016,0.4
American Indian,E4,Students,percent_of_students,All,NA,2017,0.4
American Indian,E4,Students,percent_of_students,All,NA,2018,0.4
American Indian,E4,Students,percent_of_students,All,NA,2019,0.3
American Indian,E4,Students,percent_of_students,All,NA,2020,0.4
American Indian,E4,Students,percent_of_students,All,NA,2021,0.3
American Indian,E4,Students,percent_of_students,All,NA,2022,0.3
Asian,E5,Students,percent_of_students,All,NA,1995,NA
Asian,E5,Students,percent_of_students,All,NA,1996,NA
Asian,E5,Students,percent_of_students,All,NA,1997,NA
Asian,E5,Students,percent_of_students,All,NA,1998,NA
Asian,E5,Students,percent_of_students,All,NA,1999,NA
Asian,E5,Students,percent_of_students,All,NA,2000,NA
Asian,E5,Students,percent_of_students,All,NA,2001,NA
Asian,E5,Students,percent_of_students,All,NA,2002,NA
Asian,E5,Students,percent_of_students,All,NA,2003,NA
Asian,E5,Students,percent_of_students,All,NA,2004,NA
Asian,E5,Students,percent_of_students,All,NA,2005,NA
Asian,E5,Students,percent_of_students,All,NA,2006,NA
Asian,E5,Students,percent_of_students,All,NA,2007,NA
Asian,E5,Students,percent_of_students,All,NA,2008,NA
Asian,E5,Students,percent_of_students,All,NA,2009,NA
Asian,E5,Students,percent_of_students,All,NA,2010,NA
Asian,E5,Students,percent_of_students,All,NA,2011,NA
Asian,E5,Students,percent_of_students,All,NA,2012,2
Asian,E5,Students,percent_of_students,All,NA,2013,2.2
Asian,E5,Students,percent_of_students,All,NA,2014,2
Asian,E5,Students,percent_of_students,All,NA,2015,2
Asian,E5,Students,percent_of_students,All,NA,2016,2
Asian,E5,Students,percent_of_students,All,NA,2017,2
Asian,E5,Students,percent_of_students,All,NA,2018,2
Asian,E5,Students,percent_of_students,All,NA,2019,1.9
Asian,E5,Students,percent_of_students,All,NA,2020,1.9
Asian,E5,Students,percent_of_students,All,NA,2021,1.9
Asian,E5,Students,percent_of_students,All,NA,2022,1.7
Pacific Islander,E6,Students,percent_of_students,All,NA,1995,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,1996,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,1997,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,1998,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,1999,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2000,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2001,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2002,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2003,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2004,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2005,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2006,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2007,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2008,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2009,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2010,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2011,NA
Pacific Islander,E6,Students,percent_of_students,All,NA,2012,0
Pacific Islander,E6,Students,percent_of_students,All,NA,2013,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2014,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2015,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2016,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2017,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2018,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2019,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2020,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2021,0.3
Pacific Islander,E6,Students,percent_of_students,All,NA,2022,0.4
2 or More Races,E7,Students,percent_of_students,All,NA,1995,1
2 or More Races,E7,Students,percent_of_students,All,NA,1996,1
2 or More Races,E7,Students,percent_of_students,All,NA,1997,1
2 or More Races,E7,Students,percent_of_students,All,NA,1998,1
2 or More Races,E7,Students,percent_of_students,All,NA,1999,1
2 or More Races,E7,Students,percent_of_students,All,NA,2000,2
2 or More Races,E7,Students,percent_of_students,All,NA,2001,2
2 or More Races,E7,Students,percent_of_students,All,NA,2002,2
2 or More Races,E7,Students,percent_of_students,All,NA,2003,2
2 or More Races,E7,Students,percent_of_students,All,NA,2004,2
2 or More Races,E7,Students,percent_of_students,All,NA,2005,3
2 or More Races,E7,Students,percent_of_students,All,NA,2006,3
2 or More Races,E7,Students,percent_of_students,All,NA,2007,3
2 or More Races,E7,Students,percent_of_students,All,NA,2008,4
2 or More Races,E7,Students,percent_of_students,All,NA,2009,4
2 or More Races,E7,Students,percent_of_students,All,NA,2010,3
2 or More Races,E7,Students,percent_of_students,All,NA,2011,7
2 or More Races,E7,Students,percent_of_students,All,NA,2012,5
2 or More Races,E7,Students,percent_of_students,All,NA,2013,4.7
2 or More Races,E7,Students,percent_of_students,All,NA,2014,4.8
2 or More Races,E7,Students,percent_of_students,All,NA,2015,5.1
2 or More Races,E7,Students,percent_of_students,All,NA,2016,5.4
2 or More Races,E7,Students,percent_of_students,All,NA,2017,5.4
2 or More Races,E7,Students,percent_of_students,All,NA,2018,6.1
2 or More Races,E7,Students,percent_of_students,All,NA,2019,6.6
2 or More Races,E7,Students,percent_of_students,All,NA,2020,6.9
2 or More Races,E7,Students,percent_of_students,All,NA,2021,6.9
2 or More Races,E7,Students,percent_of_students,All,NA,2022,7.3
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,1995,33.1
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,1996,32.5
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,1997,29.6
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,1998,28.3
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,1999,28.4
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2000,25.7
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2001,25.7
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2002,26.3
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2003,25.7
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2004,24.8
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2005,24.6
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2006,24.8
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2007,24.1
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2008,24.4
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2009,25.2
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2010,26.2
